tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets,polarity,subjectivity
"Literally me, if they ends up going back to va/bh I’m gone and I’ll act like barchie was endgame idc I win either way https://t.co/UR5rh0xXOr",True,en,7,0,2021-02-25 23:06:56,1365075839675756545,"['literally', 'ends', 'going', 'back', 'va', 'bh', 'gone', 'act', 'like', 'barchie', 'endgame', 'idc', 'win', 'either', 'way']",literally ends going back va bh gone act like barchie endgame idc win either way,0.4,0.2
@NancyRiverDrew does that matter though..? bughead’s relationship was still very obviously romantic while barchie’s currently is not. i don’t know how many more ways i can explain this to you for it to finally click,False,en,0,0,2021-02-25 23:06:14,1365075662000775172,"['matter', 'though', 'bughead', 'relationship', 'still', 'obviously', 'romantic', 'barchie', 'currently', 'know', 'many', 'ways', 'explain', 'finally', 'click']",matter though bughead relationship still obviously romantic barchie currently know many ways explain finally click,0.2,0.58
@RiverdaleBrasil @bazzi Yes #barchie is endgame😍,False,en,3,0,2021-02-25 23:06:08,1365075635564118028,"['yes', 'barchie', 'endgame']",yes barchie endgame,0.0,0.0
"@snowyjay True. But I guess during the final season 5:
&gt;V and J will want to comeback again with their exx. 
&gt;But A and B will realize their feelings for each other.
&gt;Then before A or B confession Betty will get kidnapped by her bagkiller  
&gt;S6 2022. Barchie endgame.",False,en,6,0,2021-02-25 23:03:30,1365074973941981185,"['true', 'guess', 'final', 'season', '5', 'gt', 'v', 'j', 'want', 'comeback', 'exx', 'gt', 'b', 'realize', 'feelings', 'gt', 'b', 'confession', 'betty', 'get', 'kidnapped', 'bagkiller', 'gt', 's6', '2022', 'barchie', 'endgame']",true guess final season 5 gt v j want comeback exx gt b realize feelings gt b confession betty get kidnapped bagkiller gt s6 2022 barchie endgame,0.075,0.6749999999999999
"@BARCH1ES @barchie_RD Omg, I hear it",False,en,0,0,2021-02-25 23:01:27,1365074459221233666,"['omg', 'hear']",omg hear,0.0,0.0
"👍👍👍 wild
#Barchie https://t.co/Rg2TTmMAbn",True,en,2,0,2021-02-25 23:00:44,1365074278320918531,"['wild', 'barchie']",wild barchie,0.1,0.4
People who say that barchie doesn’t have chemistry are straight up lying to themselves just say you don’t ship them and go,False,en,9,0,2021-02-25 23:00:31,1365074224256192513,"['people', 'say', 'barchie', 'chemistry', 'straight', 'lying', 'say', 'ship', 'go']",people say barchie chemistry straight lying say ship go,0.2,0.4
I really wonder where the writers are going with Barchie tho 🤔,False,en,3,0,2021-02-25 23:00:06,1365074119964958720,"['really', 'wonder', 'writers', 'going', 'barchie', 'tho']",really wonder writers going barchie tho,0.2,0.2
barchie is baaaack,False,en,1,0,2021-02-25 22:59:34,1365073985113743361,"['barchie', 'baaaack']",barchie baaaack,0.0,0.0
Can barchie stop paralleling for 2 seconds I can't keep up with them all 😭😭😭😭,False,en,6,0,2021-02-25 22:58:33,1365073729424945153,"['barchie', 'stop', 'paralleling', '2', 'seconds', 'keep']",barchie stop paralleling 2 seconds keep,0.0,0.0
@ellXleelangtiff ... Can't see this barchie thing anymore 🙄,False,en,0,0,2021-02-25 22:58:19,1365073669266026496,"['see', 'barchie', 'thing', 'anymore']",see barchie thing anymore,0.0,0.0
barchie and bamon are ships for pretty people.,False,en,11,4,2021-02-25 22:58:10,1365073633526358026,"['barchie', 'bamon', 'ships', 'pretty', 'people']",barchie bamon ships pretty people,0.25,1.0
"RT @ruephoriia: another example, they never let choni have anything more than a simple peck. when have they ever casually kissed the way ba…",False,en,0,4,2021-02-25 22:57:18,1365073412717228035,"['another', 'example', 'never', 'let', 'choni', 'anything', 'simple', 'peck', 'ever', 'casually', 'kissed', 'way', 'ba']",another example never let choni anything simple peck ever casually kissed way ba,-3.700743415417188e-17,0.5746031746031747
"barchie is like free to exist right now i guess, but it feels so awkward.....................",False,en,3,0,2021-02-25 22:55:30,1365072962861293571,"['barchie', 'like', 'free', 'exist', 'right', 'guess', 'feels', 'awkward']",barchie like free exist right guess feels awkward,0.02857142857142858,0.7785714285714286
"RT @Barchiedaily: Okay Barchie nation, which scene from the episode takes the crown for you? #Barchie #Riverdale",False,en,0,5,2021-02-25 22:55:25,1365072941801762824,"['okay', 'barchie', 'nation', 'scene', 'episode', 'takes', 'crown', 'barchie', 'riverdale']",okay barchie nation scene episode takes crown barchie riverdale,0.5,0.5
RT @fcrssythe: ME EVERYTIME BARCHIE SCENES COMES OUT https://t.co/GLOn4oPqFI,False,en,0,1,2021-02-25 22:55:06,1365072859400396801,"['everytime', 'barchie', 'scenes', 'comes']",everytime barchie scenes comes,0.0,0.0
ME EVERYTIME BARCHIE SCENES COMES OUT https://t.co/GLOn4oPqFI,False,en,5,1,2021-02-25 22:54:27,1365072696904536065,"['everytime', 'barchie', 'scenes', 'comes']",everytime barchie scenes comes,0.0,0.0
i remember when bhs used to use this article to justify that barchie wouldn't happen https://t.co/eZVdyWabMk,False,en,16,0,2021-02-25 22:53:31,1365072462623473669,"['remember', 'bhs', 'used', 'use', 'article', 'justify', 'barchie', 'happen']",remember bhs used use article justify barchie happen,0.0,0.0
Can we talk about how the views were gradually dropping every episode because of bh now that they are gone and the show is revamped rvd gained over like 200k views and a lot of people on Twitter saying they are coming back to the show for barchie. https://t.co/eKtNtrkaKR,False,en,22,0,2021-02-25 22:53:08,1365072366376779777,"['talk', 'views', 'gradually', 'dropping', 'every', 'episode', 'bh', 'gone', 'show', 'revamped', 'rvd', 'gained', 'like', '200k', 'views', 'lot', 'people', 'twitter', 'saying', 'coming', 'back', 'show', 'barchie']",talk views gradually dropping every episode bh gone show revamped rvd gained like 200k views lot people twitter saying coming back show barchie,0.0,0.0
I cannot BELIEVE Riverdalé is finally delivering the Barchie Goodness™️. I’m just like - 👀 yes hello gimme that.,False,en,1,0,2021-02-25 22:52:36,1365072233249595398,"['cannot', 'believe', 'riverdal', 'finally', 'delivering', 'barchie', 'goodness', 'like', 'yes', 'hello', 'gimme']",cannot believe riverdal finally delivering barchie goodness like yes hello gimme,0.0,1.0
