tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,processed_text,cleaned_tweets
THEYRE REALLY GIVING ME WHAT THE RVD WRITERS ARE AFRAID TO DO WITH CHONI https://t.co/mUp7TnkCXd,True,en,8,0,2021-02-26 05:10:43,1365167387604115458,"{'neg': 0.0, 'neu': 0.771, 'pos': 0.229, 'compound': 0.6321}","['theyre', 'really', 'giving', 'rvd', 'writers', 'afraid', 'choni']",theyre really giving rvd writers afraid choni
"you don’t understand i NEED choni to do this 
https://t.co/TjzauF2KnN",False,en,91,7,2021-02-26 05:08:01,1365166709506674688,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['understand', 'need', 'choni']",understand need choni
"RT @youcouldsell: cw // doc spoilers 
-
-
-
-
-
-
seeing billie so sad while in a car but immediately smile and look happy as soon as she g…",False,en,0,39,2021-02-26 05:07:31,1365166581513338882,"{'neg': 0.078, 'neu': 0.66, 'pos': 0.261, 'compound': 0.7785}","['cw', 'doc', 'spoilers', 'seeing', 'billie', 'sad', 'car', 'immediately', 'smile', 'look', 'happy', 'soon', 'g']",cw doc spoilers seeing billie sad car immediately smile look happy soon g
"@dlwlsana Helppp, I watched the whole show till the season 3 because of Choni. I'm not going back to it if at least Betty and Veronica aren't getting together 😂😂",False,en,1,0,2021-02-26 05:03:21,1365165531867869185,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['helppp', 'watched', 'whole', 'show', 'till', 'season', '3', 'choni', 'going', 'back', 'least', 'betty', 'veronica', 'getting', 'together']",helppp watched whole show till season 3 choni going back least betty veronica getting together
@chonisofty HAPPY HAPPY HAPPY HAPPY BIRTHDAY TO YOUUUUUUU!!!🥳🥳🥳❤️❤️ WISHING YOU THE BEST DAY EVER!! LOTS OF LOVEEEE ❤️🥺‼️,False,en,1,0,2021-02-26 05:02:20,1365165278976499712,"{'neg': 0.0, 'neu': 0.312, 'pos': 0.688, 'compound': 0.9826}","['happy', 'happy', 'happy', 'happy', 'birthday', 'youuuuuuu', 'wishing', 'best', 'day', 'ever', 'lots', 'loveeee']",happy happy happy happy birthday youuuuuuu wishing best day ever lots loveeee
"@FANCYTWICE9 Lmao😭, you need to continue....(spolier- choni, bughead brokeup)",False,en,0,0,2021-02-26 05:00:22,1365164782538563584,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['lmao', 'need', 'continue', 'spolier', 'choni', 'bughead', 'brokeup']",lmao need continue spolier choni bughead brokeup
RT @mvdelaine: she's cried in every single episode https://t.co/aXZZIavqpz,False,en,0,20,2021-02-26 04:53:55,1365163159871492098,"{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.3818}","['cried', 'every', 'single', 'episode']",cried every single episode
RT @chonis_topaz: Popular opinion: Cheryl and Toni need to hook up already,False,en,0,4,2021-02-26 04:53:49,1365163132990205953,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}","['popular', 'opinion', 'cheryl', 'toni', 'need', 'hook', 'already']",popular opinion cheryl toni need hook already
"stolen 

who is your acc dedicated to?
username - choni
icon - harley quinn
header - also dc’s harley quinn tv show
pinned - its Harley themed but includes everyone
loc - gotham city
bio - cheryl (yes im having an identity crisis bc of it)
dn - myself + harley",False,en,2,0,2021-02-26 04:44:19,1365160745533640704,"{'neg': 0.156, 'neu': 0.804, 'pos': 0.04, 'compound': -0.775}","['stolen', 'acc', 'dedicated', 'username', 'choni', 'icon', 'harley', 'quinn', 'header', 'also', 'dc', 'harley', 'quinn', 'tv', 'show', 'pinned', 'harley', 'themed', 'includes', 'everyone', 'loc', 'gotham', 'city', 'bio', 'cheryl', 'yes', 'im', 'identity', 'crisis', 'bc', 'dn', 'harley']",stolen acc dedicated username choni icon harley quinn header also dc harley quinn tv show pinned harley themed includes everyone loc gotham city bio cheryl yes im identity crisis bc dn harley
"@emmasben nah issokay,as long as my choni still together",False,en,0,0,2021-02-26 04:39:50,1365159615856402436,"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.1027}","['nah', 'issokay', 'long', 'choni', 'still', 'together']",nah issokay long choni still together
