tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets
@JamesTaylor21 7 year time jump. hiram is ruining riverdale so they all came back to save it. they’re all teaching at the high school now.,False,en,1,0,2021-02-26 01:05:02,1365105559926697985,"['7', 'year', 'time', 'jump', 'hiram', 'ruining', 'riverdale', 'came', 'back', 'save', 'teaching', 'high', 'school']",7 year time jump hiram ruining riverdale came back save teaching high school
the riverdale time jump is so weird and so great https://t.co/8pd2xiHw63,False,en,4,0,2021-02-26 00:53:33,1365102667987566597,"['riverdale', 'time', 'jump', 'weird', 'great']",riverdale time jump weird great
"RT @anguisregulus: 'Sᴀʀᴅᴏɴɪᴄ ʜᴜᴍᴏʀ ɪs ᴊᴜsᴛ ᴍʏ ᴡᴀʏ ᴏғ ʀᴇʟᴀᴛɪɴɢ ᴛᴏ ᴛʜᴇ ᴡᴏʀʟᴅ. '
   
𝑭𝒐𝒓𝒔𝒚𝒕𝒉𝒆 𝑷𝒆𝒏𝒅𝒍𝒆𝒕𝒐𝒏 𝑱𝒐𝒏𝒆𝒔 𝑰𝑰𝑰
   
    / 𝙅𝙐𝙂𝙃𝙀𝘼𝘿 𝙅𝙊𝙉𝙀𝙎.

-…",False,en,0,39,2021-02-26 00:28:36,1365096389705756673,[],
"I keep hoping this time jump on Riverdale will get better, but....ugh no.",False,en,0,0,2021-02-26 00:11:48,1365092161809772550,"['keep', 'hoping', 'time', 'jump', 'riverdale', 'get', 'better', 'ugh']",keep hoping time jump riverdale get better ugh
"like this and I'll add you to the list. this is for all of my mains (riverdale universe only pls, original characters are fine, as long as it takes place post-time-jump!) 
https://t.co/mEZpdr6IAZ",True,en,2,0,2021-02-26 00:07:57,1365091192724152325,"['like', 'add', 'list', 'mains', 'riverdale', 'universe', 'pls', 'original', 'characters', 'fine', 'long', 'takes', 'place', 'post', 'time', 'jump']",like add list mains riverdale universe pls original characters fine long takes place post time jump
"RT @tabithagifs: 🥺🥺🥺
[Riverdale | Time Jump | Erinn Westbrook] #riverdale @EriVeronica https://t.co/0AALjcm6J1",False,en,0,3,2021-02-25 23:46:47,1365085867929460741,"['riverdale', 'time', 'jump', 'erinn', 'westbrook', 'riverdale']",riverdale time jump erinn westbrook riverdale
"@amicklove @madchenamick @CW_Riverdale That corpse would've been bones by now, remember there was a 7 year time jump. That happened before graduation and senior year.",False,en,1,0,2021-02-25 22:55:20,1365072917864800256,"['corpse', 'would', 'bones', 'remember', '7', 'year', 'time', 'jump', 'happened', 'graduation', 'senior', 'year']",corpse would bones remember 7 year time jump happened graduation senior year
Ohhh they’re doing a OTH style time jump? Okay. At least they’ll look their age instead of “17” (which was laughable at the best of times) #Riverdale,False,en,0,0,2021-02-25 22:23:26,1365064889719541763,"['ohhh', 'oth', 'style', 'time', 'jump', 'okay', 'least', 'look', 'age', 'instead', '17', 'laughable', 'best', 'times', 'riverdale']",ohhh oth style time jump okay least look age instead 17 laughable best times riverdale
Riverdale | Time Jump | Mark Consuelos | The CW https://t.co/yH3C3H6ERg via @YouTube,False,en,0,0,2021-02-25 22:11:39,1365061926573719555,"['riverdale', 'time', 'jump', 'mark', 'consuelos', 'cw', 'via']",riverdale time jump mark consuelos cw via
"Veronica Lodge dueting ""Shallow"" with her new husband whose name is Chad Gekko. this time jump is exactly what Riverdale needed",False,en,6,0,2021-02-25 22:05:04,1365060269169377285,"['veronica', 'lodge', 'dueting', 'shallow', 'new', 'husband', 'whose', 'name', 'chad', 'gekko', 'time', 'jump', 'exactly', 'riverdale', 'needed']",veronica lodge dueting shallow new husband whose name chad gekko time jump exactly riverdale needed
