tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,processed_text,cleaned_tweets
RT @MadchenZone: We all know Alice needs to find happiness. And we all know who can make that happen again. #Riverdale #Falice,False,en,0,1,2021-02-25 02:10:40,1364759689314066433,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.5574}","['know', 'alice', 'needs', 'find', 'happiness', 'know', 'make', 'happen', 'riverdale', 'falice']",know alice needs find happiness know make happen riverdale falice
We all know Alice needs to find happiness. And we all know who can make that happen again. #Riverdale #Falice,False,en,5,1,2021-02-25 02:08:42,1364759195648745473,"{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.5574}","['know', 'alice', 'needs', 'find', 'happiness', 'know', 'make', 'happen', 'riverdale', 'falice']",know alice needs find happiness know make happen riverdale falice
@RiverdaleWriter If y’all do not stop hurting my poor baby!🥺 let her be happy for 5 minutes plz!,False,en,6,0,2021-02-25 02:07:29,1364758889158311936,"{'neg': 0.125, 'neu': 0.483, 'pos': 0.392, 'compound': 0.6838}","['stop', 'hurting', 'poor', 'baby', 'let', 'happy', '5', 'minutes', 'plz']",stop hurting poor baby let happy 5 minutes plz
RT @reinhartsdivine: be young falice again please https://t.co/J9yGtFqWUn,False,en,0,24,2021-02-25 01:39:55,1364751951825567745,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.3182}","['young', 'falice', 'please']",young falice please
Me after watching the falice kiss scene for the millionth time https://t.co/tsJJQyylNl,False,en,10,4,2021-02-25 01:39:37,1364751873748709380,"{'neg': 0.0, 'neu': 0.797, 'pos': 0.203, 'compound': 0.4215}","['watching', 'falice', 'kiss', 'scene', 'millionth', 'time']",watching falice kiss scene millionth time
RT @DFinley22: @CWRiverdaleNew We all miss #Falice #Riverdale https://t.co/nQIpkGkXwM,False,en,0,2,2021-02-25 01:32:35,1364750104972910594,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.1531}","['miss', 'falice', 'riverdale']",miss falice riverdale
Also this was me watching falice’s last scene https://t.co/BXMIveYtin,True,en,8,0,2021-02-25 01:25:58,1364748439381278721,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['also', 'watching', 'falice', 'last', 'scene']",also watching falice last scene
@madchenamick Happy twin peaks day ❤️❤️❤️✨,False,en,0,0,2021-02-25 00:16:42,1364731006738173953,"{'neg': 0.0, 'neu': 0.575, 'pos': 0.425, 'compound': 0.5719}","['happy', 'twin', 'peaks', 'day']",happy twin peaks day
"RT @AMlCKS: some of y’all...... no one is going to say you’re any less of a stan for not watching s5 because falice aren’t in it, but makin…",False,en,0,13,2021-02-24 23:48:32,1364723921203982336,"{'neg': 0.058, 'neu': 0.942, 'pos': 0.0, 'compound': -0.1531}","['one', 'going', 'say', 'less', 'stan', 'watching', 's5', 'falice', 'makin']",one going say less stan watching s5 falice makin
@MadchenZone Right,False,en,1,0,2021-02-24 22:02:30,1364697236249206785,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",['right'],right
RT @falicesushi: hi @madchenamick since ur online pls describe us the journey of falice in 1 sentence,False,en,0,2,2021-02-24 21:57:07,1364695881384099846,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.1531}","['hi', 'since', 'ur', 'online', 'pls', 'describe', 'us', 'journey', 'falice', '1', 'sentence']",hi since ur online pls describe us journey falice 1 sentence
"Happy #TwinPeaksDay ✨❤️
@madchenamick https://t.co/zfhAiZ0kYD",False,en,2,0,2021-02-24 21:52:09,1364694629518614532,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.5719}","['happy', 'twinpeaksday']",happy twinpeaksday
RT @delicatefalice: @RiverdaleWriter falice’s shower scene they wanted when?,False,en,0,1,2021-02-24 21:52:07,1364694620869951496,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['falice', 'shower', 'scene', 'wanted']",falice shower scene wanted
@madchenamick @CW_Riverdale Who’s Alice on the phone with? MAYBE calling pollys phone ?? Ugh this is all to much 😩,False,en,4,0,2021-02-24 21:49:59,1364694087358636041,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.5171}","['alice', 'phone', 'maybe', 'calling', 'pollys', 'phone', 'ugh', 'much']",alice phone maybe calling pollys phone ugh much
@1Dtommoway13 @madchenamick @CW_Riverdale That’s a freaking hand,False,en,9,0,2021-02-24 21:48:36,1364693736534515716,"{'neg': 0.28, 'neu': 0.4, 'pos': 0.32, 'compound': 0.1027}","['freaking', 'hand']",freaking hand
@madchenamick @CW_Riverdale That’s a hand!!!!😳,False,en,2,0,2021-02-24 21:48:22,1364693679127027712,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",['hand'],hand
hi @madchenamick since ur online pls describe us the journey of falice in 1 sentence,False,en,12,2,2021-02-24 21:46:51,1364693295557967877,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.1531}","['hi', 'since', 'ur', 'online', 'pls', 'describe', 'us', 'journey', 'falice', '1', 'sentence']",hi since ur online pls describe us journey falice 1 sentence
@madchenamick @Kyle_MacLachlan I want some😂❤️,False,en,0,0,2021-02-24 21:43:10,1364692369086504966,"{'neg': 0.0, 'neu': 0.698, 'pos': 0.302, 'compound': 0.0772}",['want'],want
"RT @fran_topaz: Honestly. As long as Choni &amp; Falice are endgame, I could care less about what happens with Betty, Jughead, Archie or Veroni…",False,en,0,1,2021-02-24 21:41:01,1364691828856020998,"{'neg': 0.0, 'neu': 0.772, 'pos': 0.228, 'compound': 0.7351}","['honestly', 'long', 'choni', 'amp', 'falice', 'endgame', 'could', 'care', 'less', 'happens', 'betty', 'jughead', 'archie', 'veroni']",honestly long choni amp falice endgame could care less happens betty jughead archie veroni
RT @MADSBIAN: if this is an alice centric i want to see mädchen get screentime and not lili,False,en,0,4,2021-02-24 21:21:05,1364686811281428485,"{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0.0772}","['alice', 'centric', 'want', 'see', 'dchen', 'get', 'screentime', 'lili']",alice centric want see dchen get screentime lili
@CWRiverdaleNew We also miss them a lot #Falice 🥰🥺,False,en,3,0,2021-02-24 21:08:16,1364683587975585792,"{'neg': 0.186, 'neu': 0.814, 'pos': 0.0, 'compound': -0.1531}","['also', 'miss', 'lot', 'falice']",also miss lot falice
"RT @medicaldoctxr: SO TRUE🤧🤧 falice isn’t over, it’s just the beginning😌",True,en,0,1,2021-02-24 21:07:25,1364683371763351553,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['true', 'falice', 'beginning']",true falice beginning
