tweets,quote_status,language,favorite_count,retweet_count,time,id,rating
if jeronica is only 1.4% of the votes how much of the votes  did choni get…,False,en,0,0,2021-02-27 20:07:50,1365755544527642629,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
JERONICA GETTING HIGHER THAN VARCHIE????? how the turn tables... https://t.co/5cvW3ZmT1e,True,en,8,0,2021-02-27 20:07:09,1365755370052874240,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
jeronica fans deserve jail time https://t.co/U05PEAe8nU,True,en,9,0,2021-02-27 20:06:37,1365755236120481796,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
how did jeronica get more votes than varchie?? what happened?? https://t.co/fFJ6IT6LWe,True,en,1,0,2021-02-27 20:06:34,1365755225605353476,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"There's something special brewing in San Jose. 

This week in ""Our City, Our Stories,"" we're highlighting our friends at @NirvanaSoulSJ in the SoFa District. 

Co-founders Jeronica and Be’Anka hope to bring people together through the power of coffee and tea.",False,en,59,8,2021-02-27 20:00:01,1365753574555148288,"{'neg': 0.0, 'neu': 0.81, 'pos': 0.19, 'compound': 0.8271}"
"my bestie, barchies this is to bring to your attention that I very recently discovered Jeronica could be amazing ,they've never had enough screen time so if something like that were to happen it would just be out of the blue and epic .
think about it ,for real !!!!!",False,en,19,3,2021-02-27 19:20:33,1365743644779507713,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.8286}"
"@archiebettyOTP @barchiesdreams @EriVeronica @colesprouse @RiverdaleWriter jughead does not pay any attention to her !!!! or  veronica for that matter but I ship him with both , helppppppp!!!!! why don't we have any Jeronica scenes it's not fair ajdjwjjfkdkekf",False,en,2,0,2021-02-27 19:04:00,1365739480200581122,"{'neg': 0.093, 'neu': 0.85, 'pos': 0.057, 'compound': -0.5288}"
"RT @archiebettyOTP: I will always &amp; forever be a Jeronica Stan but I gotta be honest, I'm falling in love with these two! https://t.co/POni…",False,en,0,1,2021-02-27 19:01:05,1365738745635471370,"{'neg': 0.062, 'neu': 0.591, 'pos': 0.346, 'compound': 0.892}"
barchie this barchie that what about jeronica two sides of the same coin dair-esque arc. huh?,False,en,1,0,2021-02-27 18:15:23,1365727242677018627,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"I will always &amp; forever be a Jeronica Stan but I gotta be honest, I'm falling in love with these two! https://t.co/POni8uDT8Q",False,en,34,1,2021-02-27 18:05:16,1365724697657290752,"{'neg': 0.067, 'neu': 0.563, 'pos': 0.371, 'compound': 0.892}"
the way archie goes absolutely feral after jeronica kiss like??????,False,en,0,0,2021-02-27 17:59:46,1365723313134256130,"{'neg': 0.0, 'neu': 0.705, 'pos': 0.295, 'compound': 0.5803}"
RT @sexitopaz: I need more jeronica besties.,False,en,0,1,2021-02-27 17:20:59,1365713553253150723,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
The only Romeo and Juliet ships are Choni and Jeronica I— https://t.co/NoAK0iZhs3,True,en,3,0,2021-02-27 17:15:56,1365712282857037826,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @ShellyLahey: jeronica’s a part of this omg JERONICA’S GO VOTE https://t.co/UFzZSa3MhS,True,en,0,4,2021-02-27 17:05:43,1365709712797425666,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
jeronica’s a part of this omg JERONICA’S GO VOTE https://t.co/UFzZSa3MhS,True,en,8,4,2021-02-27 17:03:01,1365709030086373377,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
I need more jeronica besties.,False,en,4,1,2021-02-27 15:19:32,1365682990173458432,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @VugheadForever: Even if Riverdale ends without Jeronica and absolutely nothing about them, I will never stop thinking that they would h…",False,en,0,4,2021-02-27 13:49:06,1365660231016079360,"{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.2235}"
"RT @_patersons: why are the riverdale writers so scared to let jughead and veronica interact, seriously? the time jump + barchie was the pe…",False,en,0,15,2021-02-27 08:02:00,1365572879270739968,"{'neg': 0.206, 'neu': 0.794, 'pos': 0.0, 'compound': -0.6642}"
@ThatNiggaAFool @Tiffernayyyyy @ceraliza You Jeronica‘s?,False,en,10,0,2021-02-27 03:39:13,1365506747826376707,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @VugheadForever: @azalben @decider I NEED JERONICA https://t.co/SCWk8kcwwU,False,en,0,1,2021-02-27 02:15:12,1365485605753389057,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"This show is making me miss one of the best Jeronica fics, The Ward and her Protector",False,en,0,0,2021-02-27 01:31:50,1365474693369618432,"{'neg': 0.077, 'neu': 0.721, 'pos': 0.202, 'compound': 0.5574}"
@CW_Riverdale snyways give me some Jeronica crumbs https://t.co/UDZiueF2f9,False,en,5,0,2021-02-27 01:02:30,1365467309637332996,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Jughead said on S3x11 referring to Veronica “A hell of a good looking one was about to walk through my door”... I think the writers would’ve taken their storyline in a more joint manner if fans got as excited by that as they do by Barchie crumbs lol #Barchie #Jeronica #Riverdale,False,en,6,0,2021-02-27 01:00:01,1365466684983771136,"{'neg': 0.081, 'neu': 0.776, 'pos': 0.143, 'compound': 0.3612}"
Omg I never noticed her thumb caressing his 😍😍😍💕💕 #jeronica #Riverdale #vughead https://t.co/vZWWhulIFu,True,en,10,1,2021-02-27 00:41:29,1365462022540861444,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
i just remembered when i was a jeronica and fred first got shot and the core four all group hugged archie i was like “veronica and jughead have their arms around each other they’re touching wow this is how i win” 😭😭 like... his dad is in critical condition in the hospital,False,en,18,0,2021-02-26 23:52:49,1365449775127146500,"{'neg': 0.042, 'neu': 0.792, 'pos': 0.166, 'compound': 0.7717}"
@azalben @decider I NEED JERONICA https://t.co/SCWk8kcwwU,False,en,2,1,2021-02-26 22:24:24,1365427523367165953,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @mydairjeronica: JERONICA IN GLASSES 😭😭😭 my myopic babies https://t.co/vCSzm7v37w,False,en,0,31,2021-02-26 16:28:54,1365338059324153861,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"As much as I like Varchie, I adore the idea of Vughead (or is it Jeronica?) more. And hoping that plot twist will actually happen someday! 😃🤩😊 
#Riverdale #fangirl https://t.co/Gvl0M2NohS",False,en,27,2,2021-02-26 13:15:20,1365289346174046210,"{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.858}"
When Jeronica is given their chance and this happens I’ll sob https://t.co/Kvnirn4tdP,True,en,9,0,2021-02-26 06:53:20,1365193213607223296,"{'neg': 0.143, 'neu': 0.714, 'pos': 0.143, 'compound': 0.0}"
