tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets,neg,neu,pos
i’m so confused. why is everyone getting mad about a barchie sex scene being on porn hub? there’s legit bughead and varchie on there too https://t.co/a5YNF5pH47,False,en,17,2,2021-02-21 02:52:17,1363320608948420613,"['confused', 'everyone', 'getting', 'mad', 'barchie', 'sex', 'scene', 'porn', 'hub', 'legit', 'bughead', 'varchie']",i’m so confused. why is everyone getting mad about a barchie sex scene being on porn hub? there’s legit bughead and varchie on there too ,0.00,0.00,1.00
bughead 🤝 varchie,False,en,0,0,2021-02-21 02:52:17,1363320608734461953,"['bughead', 'varchie']",bughead :handshake: varchie,0.00,0.00,1.00
@loveecami @xsvarchie How about 😏😈🥵🔥,False,en,1,0,2021-02-21 02:34:09,1363316046350987266,[],  how about :smirking face::smiling face with horns::hot face::fire:,0.00,0.00,1.00
@bugheadaIe Can you send me the link,False,en,2,0,2021-02-21 02:32:55,1363315736039600129,"['send', 'link']", can you send me the link,0.00,0.00,1.00
RT please because I need more veronica and archie varchie moots on twitter https://t.co/K0M50CaBSK,False,en,4,3,2021-02-21 02:12:02,1363310482870927361,"['please', 'need', 'veronica', 'archie', 'varchie', 'moots', 'twitter']",rt please because i need more veronica and archie varchie moots on twitter ,0.00,0.00,1.00
"ask me how I feel about ronnie I will tell you I am crazy about her 

varchie will always be the superior riverdale ship https://t.co/m91gkW0B6Q",False,en,0,0,2021-02-21 02:07:56,1363309448803069952,"['ask', 'feel', 'ronnie', 'tell', 'crazy', 'varchie', 'always', 'superior', 'riverdale', 'ship']","ask me how i feel about ronnie i will tell you i am crazy about her 

varchie will always be the superior riverdale ship ",0.00,0.00,1.00
VARCHIE x CRUEL SUMMER https://t.co/z74X7NQGIP,False,en,0,0,2021-02-21 02:02:17,1363308026250280963,"['varchie', 'x', 'cruel', 'summer']",varchie x cruel summer ,0.00,0.00,1.00
VARCHIE x ENCHANTED https://t.co/hSmhq6ignr,False,en,1,0,2021-02-21 02:02:04,1363307972689092609,"['varchie', 'x', 'enchanted']",varchie x enchanted ,0.00,0.00,1.00
"@varchiexkjmila @archsronnie @barcheated I’m talking about KJ. This varchie said KJ called va endgame, so I was wondering when and where this took place. But yes Archie did say that and I will admit at that time that’s how he felt but I think during s3 he really needed Betty more than V in more ways than 1. U right tho",False,en,0,0,2021-02-21 01:56:51,1363306658282295296,"['talking', 'kj', 'varchie', 'said', 'kj', 'called', 'va', 'endgame', 'wondering', 'took', 'place', 'yes', 'archie', 'say', 'admit', 'time', 'felt', 'think', 's3', 'really', 'needed', 'betty', 'v', 'ways', '1', 'u', 'right', 'tho']","   i’m talking about kj. this varchie said kj called va endgame, so i was wondering when and where this took place. but yes archie did say that and i will admit at that time that’s how he felt but i think during s3 he really needed betty more than v in more ways than 1. u right tho",0.02,0.00,0.98
RT @barcheating: @CW_Riverdale hoping yall have realized there's no room for bughead and varchie anymore btw. we've seen it already and we'…,False,en,0,9,2021-02-21 01:25:21,1363298733581094921,"['hoping', 'yall', 'realized', 'room', 'bughead', 'varchie', 'anymore', 'btw', 'seen', 'already']",rt :  riverdale hoping yall have realized there's no room for bughead and varchie anymore btw. we've seen it already and we'…,0.00,0.00,1.00
